Text,Prediction
Well its not like you actually called someone a punto. That woulda been worse.,Not Spam 
"Nope. Since ayo travelled, he has forgotten his guy",Not Spam 
You still around? Looking to pick up later,Not Spam 
CDs 4u: Congratulations ur awarded å£500 of CD gift vouchers or å£125 gift guaranteed & Freeentry 2 å£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,Spam
There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,Not Spam 
Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,Not Spam 
ILL B DOWN SOON,Not Spam 
Oh k. . I will come tomorrow,Not Spam 
Go fool dont cheat others ok,Not Spam 
"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",Not Spam 
"By the way, 'rencontre' is to meet again. Mountains dont....",Not Spam 
You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,Spam
U attend ur driving lesson how many times a wk n which day?,Not Spam 
"Uncle G, just checking up on you. Do have a rewarding month",Not Spam 
Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,Not Spam 
I think the other two still need to get cash but we can def be ready by 9,Not Spam 
Hey gals...U all wanna meet 4 dinner at nÌÂte? ,Not Spam 
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,Spam
Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,Not Spam 
Great! How is the office today?,Not Spam 
"It's cool, we can last a little while. Getting more any time soon?",Not Spam 
:-( sad puppy noise,Not Spam 
Yes its possible but dint try. Pls dont tell to any one k,Not Spam 
Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,Not Spam 
Where you. What happen,Not Spam 
I was gonna ask you lol but i think its at 7,Not Spam 
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,Spam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,Spam
Go chase after her and run her over while she's crossing the street,Not Spam 
I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),Not Spam 
Is there coming friday is leave for pongal?do you get any news from your work place.,Not Spam 
Hey... Very inconvenient for your sis a not huh?,Not Spam 
Ok i vl..do u know i got adsense approved..,Not Spam 
"* Was really good to see you the other day dudette, been missing you!",Not Spam 
I want to go to perumbavoor,Not Spam 
How many times i told in the stage all use to laugh. You not listen aha.,Not Spam 
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,Spam
(You didn't hear it from me),Not Spam 
Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,Not Spam 
Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,Not Spam 
Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,Spam
She ran off with a younger man. we will make pretty babies together :),Not Spam 
Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,Spam
O ic lol. Should play 9 doors sometime yo,Not Spam 
"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",Not Spam 
"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",Not Spam 
Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,Not Spam 
Hmmm.still we dont have opener?,Not Spam 
Yeah so basically any time next week you can get away from your mom &amp; get up before 3,Not Spam 
"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",Not Spam 
I will vote for wherever my heart guides me,Not Spam 
With my sis lor... We juz watched italian job.,Not Spam 
"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",Not Spam 
Lmao you know me so well...,Not Spam 
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,Spam
Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,Not Spam 
Goodnight da thangam I really miss u dear.,Not Spam 
Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,Not Spam 
"Geeeee ... Your internet is really bad today, eh ?",Not Spam 
Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,Spam
I think i am disturbing her da,Not Spam 
"Sorry, I'll call you  later. I am in meeting sir.",Not Spam 
Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,Not Spam 
Ok i also wan 2 watch e 9 pm show...,Not Spam 
I dunno lei... Like dun haf...,Not Spam 
But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,Not Spam 
I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,Not Spam 
83039 62735=å£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,Spam
Talk to g and x about that,Not Spam 
Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),Not Spam 
5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,Spam
As in different styles?,Not Spam 
WIN a å£200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 å£1.50perweeksub.,Spam
Gud ni8 dear..slp well..take care..swt dreams..Muah..,Not Spam 
I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,Not Spam 
"This is the 2nd attempt to contract U, you have won this weeks top prize of either å£1000 cash or å£200 prize. Just call 09066361921",Spam
"Well, i'm glad you didn't find it totally disagreeable ... Lol",Not Spam 
"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",Not Spam 
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,Spam
Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,Not Spam 
\Keep ur problems in ur heart,Not Spam 
"Yeah, give me a call if you've got a minute",Not Spam 
\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS åÐ FUCKINNICE!SELFISH,Not Spam 
Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),Not Spam 
Aiya we discuss later lar... Pick Ì_ up at 4 is it?,Not Spam 
Hey happy birthday...,Not Spam 
Sorry i missed your call. Can you please call back.,Not Spam 
Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,Not Spam 
"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",Not Spam 
I wont do anything de.,Not Spam 
What type of stuff do you sing?,Not Spam 
"St andre, virgil's cream",Not Spam 
No no. I will check all rooms befor activities,Not Spam 
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",Not Spam 
Gokila is talking with you aha:),Not Spam 
"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",Not Spam 
K.k.this month kotees birthday know?,Not Spam 
But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,Not Spam 
Sorry about that this is my mates phone and i didnt write it love Kate,Not Spam 
"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",Spam
"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",Not Spam 
"Aight, call me once you're close",Not Spam 
Nope thats fine. I might have a nap tho! ,Not Spam 
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,Spam
In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,Not Spam 
"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",Not Spam 
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,Not Spam 
Ding me on ya break fassyole! Blacko from londn,Not Spam 
I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,Not Spam 
"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",Not Spam 
Oh you got many responsibilities.,Not Spam 
You have 1 new message. Please call 08715205273,Spam
I've reached sch already...,Not Spam 
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,Spam
U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,Not Spam 
Argh why the fuck is nobody in town ;_;,Not Spam 
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",Spam
Thanks. Fills me with complete calm and reassurance! ,Not Spam 
Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,Not Spam 
Are you driving or training?,Not Spam 
Lol for real. She told my dad I have cancer,Not Spam 
PRIVATE! Your 2003 Account Statement for 078,Not Spam 
"Oops I did have it,  &lt;#&gt; ?",Not Spam 
"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\""""",Not Spam 
"Hi Chikku, send some nice msgs",Not Spam 
"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",Not Spam 
"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",Not Spam 
"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",Not Spam 
Cuz ibored. And don wanna study,Not Spam 
Wot about on wed nite I am 3 then but only til 9!,Not Spam 
"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",Not Spam 
Any way where are you and what doing.,Not Spam 
That sucks. I'll go over so u can do my hair. You'll do it free right?,Not Spam 
it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,Not Spam 
"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",Not Spam 
Sday only joined.so training we started today:),Not Spam 
Sorry * was at the grocers.,Not Spam 
There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,Not Spam 
"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",Spam
Yup... I havent been there before... You want to go for the yoga? I can call up to book ,Not Spam 
Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,Not Spam 
Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,Not Spam 
